Device,Model ID,Year,RAM,"# CPU 
Cores",CPU clock,Screen Res,PPI
iPhone,"iPhone1,1",2007,0.125,1,0.412,480 × 320,163
iPhone 3G,"iPhone1,2",2008,0.125,1,0.412,480 × 320,163
iPhone 3GS,"iPhone2,1",2009,0.25,1,0.6,480 × 320,163
iPhone 4,"iPhone3,1",2010,0.5,1,0.8,960 × 640,326
iPhone 4,"iPhone3,2",2010,0.5,1,0.8,960 × 640,326
iPhone 4,"iPhone3,3",2010,0.5,1,0.8,960 × 640,326
iPhone 4S,"iPhone4,1",2011,0.5,2,0.8,960 × 640,326
iPhone 5,"iPhone5,1",2012,1,2,1.3,1136 × 640,326
iPhone 5,"iPhone5,2",2012,1,2,1.3,1136 × 640,326
iPhone 5c,"iPhone5,3",2013,1,2,1.3,1136 × 640,326
iPhone 5c,"iPhone5,4",2013,1,2,1.3,1136 × 640,326
iPhone 5s,"iPhone6,1",2013,1,2,1.3,1136 × 640,326
iPhone 5s,"iPhone6,2",2013,1,2,1.3,1137 × 640,326
iPhone 5s,"iPhone6,3",2013,1,2,1.3,1138 × 640,326
iPhone 6 Plus,"iPhone7,1",2014,1,2,1.4,1920 × 1080,401
iPhone 6,"iPhone7,2",2014,1,2,1.4,1334 × 750,326
iPhone 6S,"iPhone8,1",2015,2,2,1.85,1334 × 750,326
iPhone 6S Plus,"iPhone8,2",2015,2,2,1.85,1920 × 1080,401
iPhone SE,"iPhone8,4",2016,2,2,1.85,1136 × 640,326
iPhone 7,"iPhone9,1",2016,2,4,2.34,1334 × 750,326
iPhone 7,"iPhone9,2",2016,2,4,2.34,1335 × 750,326
iPhone 7,"iPhone9,3",2016,2,4,2.34,1336 × 750,326
iPhone 7 Plus,"iPhone9,4",2016,3,4,2.34,1920 × 1080,401
iPhone 7 Plus,"iPhone9,5",2016,3,4,2.34,1921 × 1080,401
iPhone 7 Plus,"iPhone9,6",2016,3,4,2.34,1922 × 1080,401
iPhone 8,"iPhone10,1",2017,2,6,2.4,1334 × 750,326
iPhone 8 Plus,"iPhone10,2",2017,3,6,2.4,1920 × 1080,401
iPhone X,"iPhone10,3",2017,3,6,2.4,2436 × 1125,458
iPhone 8,"iPhone10,4",2017,2,6,2.4,1334 × 750,326
iPhone 8 Plus,"iPhone10,5",2017,3,6,2.4,1921 × 1080,401
iPhone X,"iPhone10,6",2017,3,6,2.4,2437 × 1125,458
iPhone XR,"iPhone11,8",2018,4,6,2.49,2436 × 1125,458
iPhone XS,"iPhone11,2",2018,3,6,2.49,2436 × 1125,458
iPhone XS Max,"iPhone11,6",2018,4,6,2.49,2688 × 1242,458
iPhone 11,"iPhone12,1",2019,4,6,2.49,1792 × 828,326
iPhone 11 Pro,"iPhone12,3",2019,4,6,2.65,2436 × 1125,458
iPhone 11 Pro Max,"iPhone12,5",2019,4,6,2.65,2688 × 1242,458
iPhone SE (2020 / 2nd gen),"iPhone12,8",2020,3,6,2.65,1334 × 750,326
iPhone 12 mini,"iPhone13,1",2020,4,6,2.99,2340 × 1080,476
iPhone 12,"iPhone13,2",2020,4,6,2.99,2532 × 1170,460
iPhone 12 Pro,"iPhone13,3",2020,6,6,2.99,2532 × 1170,460
iPhone 12 Pro Max,"iPhone13,4",2020,6,6,2.99,2778 × 1284,458
iPhone 13 Pro,"iPhone14,2",2021,6,6,3.2,2532 × 1170,460
iPhone 13 Pro Max,"iPhone14,3",2021,6,6,3.2,2778 × 1284,458
iPhone 13 mini,"iPhone14,4",2021,4,6,3.2,2340 × 1080,476
iPhone 13,"iPhone14,5",2021,4,6,3.2,2532 × 1170,460